COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;COD_VIAL;CLASE_VIAL;PARTICULAR_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LONGITUD;LATITUD
60001;APARCABICICLETAS;457803;20003766;PLAZA DE SANTO DOMINGO 19;;702300;PLAZA;DE;SANTO DOMINGO;NUMERO;19;1;Palacio;1;Centro;439930,1843;4474589,093;-3.70807759;40.41976228
60001;APARCABICICLETAS;457804;20003766;PLAZA DE SANTO DOMINGO 19;;702300;PLAZA;DE;SANTO DOMINGO;NUMERO;19;1;Palacio;1;Centro;439914,3092;4474610,524;-3.70826673;40.41995419
60001;APARCABICICLETAS;457807;11000185;CUESTA DE SANTO DOMINGO 14;;702200;CUESTA;DE;SANTO DOMINGO;NUMERO;14;1;Palacio;1;Centro;439844,1945;4474592,664;-3.70909147;40.41978824
60001;APARCABICICLETAS;457815;31026055;PLAZA DE ISABEL II 6;;378200;PLAZA;DE;ISABEL II;NUMERO;6;1;Palacio;1;Centro;439824,2184;4474423,436;-3.70931091;40.41826231
60001;APARCABICICLETAS;457818;20003836;PLAZA DE ISABEL II 8;;378200;PLAZA;DE;ISABEL II;NUMERO;8;1;Palacio;1;Centro;439822,7632;4474397,11;-3.70932557;40.41802505
60001;APARCABICICLETAS;457820;31037358;CALLE DE VERGARA 3;;776900;CALLE;DE;VERGARA;NUMERO;3;1;Palacio;1;Centro;439717,5911;4474380,177;-3.71056357;40.4178649
60001;APARCABICICLETAS;457823;31037355;CALLE DE SANTA CLARA 1;;693300;CALLE;DE;SANTA CLARA;NUMERO;1;1;Palacio;1;Centro;439692,3234;4474257,807;-3.71084978;40.4167607
60001;APARCABICICLETAS;457830;11000048;CALLE 0 MAYOR 86;;497800;CALLE;0;MAYOR;NUMERO;86;1;Palacio;1;Centro;439528,546;4474088,052;-3.71276395;40.41521958
60001;APARCABICICLETAS;457832;11000040;CALLE 0 MAYOR 83;;497800;CALLE;0;MAYOR;NUMERO;83;1;Palacio;1;Centro;439396,254;4474067,943;-3.71432122;40.41502882
60001;APARCABICICLETAS;457834;11000942;CALLE DE BAILEN 41;;88200;CALLE;DE;BAILEN;NUMERO;41;1;Palacio;1;Centro;439439,7781;4473724,514;-3.71377556;40.41193821
